Freq.	V(vout2)
1.19949930314937e+02	(9.69708343874982e-04dB,-3.86378301138521e-01°)
1.20226443461741e+02	(9.74945678409666e-04dB,-3.87269244750401e-01°)
1.20503594037179e+02	(9.80207189034635e-04dB,-3.88162243929988e-01°)
1.20781383510677e+02	(9.85492987368188e-04dB,-3.89057303427846e-01°)
1.21059813355048e+02	(9.90803185533403e-04dB,-3.89954428005582e-01°)
1.21338885046497e+02	(9.96137896158124e-04dB,-3.90853622435864e-01°)
1.21618600064636e+02	(1.00149723241739e-03dB,-3.91754891502440e-01°)
1.21898959892486e+02	(1.00688130798907e-03dB,-3.92658240000176e-01°)
1.22179966016487e+02	(1.01229023707122e-03dB,-3.93563672735074e-01°)
1.22461619926504e+02	(1.01772413441099e-03dB,-3.94471194524304e-01°)
1.22743923115840e+02	(1.02318311526800e-03dB,-3.95380810196223e-01°)
1.23026877081238e+02	(1.02866729544133e-03dB,-3.96292524590408e-01°)
1.23310483322890e+02	(1.03417679126178e-03dB,-3.97206342557684e-01°)
1.23594743344450e+02	(1.03971171959960e-03dB,-3.98122268960140e-01°)
1.23879658653036e+02	(1.04527219785483e-03dB,-3.99040308671169e-01°)
1.24165230759240e+02	(1.05085834399202e-03dB,-3.99960466575481e-01°)
1.24451461177138e+02	(1.05647027649200e-03dB,-4.00882747569144e-01°)
1.24738351424294e+02	(1.06210811440395e-03dB,-4.01807156559600e-01°)
1.25025903021771e+02	(1.06777197732032e-03dB,-4.02733698465692e-01°)
1.25314117494141e+02	(1.07346198537299e-03dB,-4.03662378217703e-01°)
1.25602996369487e+02	(1.07917825928142e-03dB,-4.04593200757369e-01°)
1.25892541179416e+02	(1.08492092028523e-03dB,-4.05526171037909e-01°)
1.26182753459066e+02	(1.09069009020004e-03dB,-4.06461294024060e-01°)
1.26473634747114e+02	(1.09648589141752e-03dB,-4.07398574692096e-01°)
1.26765186585784e+02	(1.10230844686678e-03dB,-4.08338018029856e-01°)
1.27057410520853e+02	(1.10815788006839e-03dB,-4.09279629036777e-01°)
1.27350308101665e+02	(1.11403431509386e-03dB,-4.10223412723917e-01°)
1.27643880881134e+02	(1.11993787660034e-03dB,-4.11169374113983e-01°)
1.27938130415752e+02	(1.12586868982098e-03dB,-4.12117518241358e-01°)
1.28233058265601e+02	(1.13182688056687e-03dB,-4.13067850152127e-01°)
1.28528665994361e+02	(1.13781257521736e-03dB,-4.14020374904111e-01°)
1.28824955169313e+02	(1.14382590075093e-03dB,-4.14975097566892e-01°)
1.29121927361353e+02	(1.14986698472010e-03dB,-4.15932023221833e-01°)
1.29419584144998e+02	(1.15593595528424e-03dB,-4.16891156962116e-01°)
1.29717927098395e+02	(1.16203294115936e-03dB,-4.17852503892773e-01°)
1.30016957803328e+02	(1.16815807170495e-03dB,-4.18816069130691e-01°)
1.30316677845229e+02	(1.17431147683718e-03dB,-4.19781857804675e-01°)
1.30617088813183e+02	(1.18049328709634e-03dB,-4.20749875055443e-01°)
1.30918192299940e+02	(1.18670363360061e-03dB,-4.21720126035679e-01°)
1.31219989901920e+02	(1.19294264810968e-03dB,-4.22692615910043e-01°)
1.31522483219223e+02	(1.19921046294371e-03dB,-4.23667349855216e-01°)
1.31825673855640e+02	(1.20550721108172e-03dB,-4.24644333059910e-01°)
1.32129563418657e+02	(1.21183302609214e-03dB,-4.25623570724914e-01°)
1.32434153519466e+02	(1.21818804216365e-03dB,-4.26605068063113e-01°)
1.32739445772973e+02	(1.22457239409941e-03dB,-4.27588830299517e-01°)
1.33045441797808e+02	(1.23098621733439e-03dB,-4.28574862671294e-01°)
1.33352143216332e+02	(1.23742964792574e-03dB,-4.29563170427793e-01°)
1.33659551654643e+02	(1.24390282255082e-03dB,-4.30553758830577e-01°)
1.33967668742593e+02	(1.25040587853422e-03dB,-4.31546633153454e-01°)
1.34276496113786e+02	(1.25693895382270e-03dB,-4.32541798682500e-01°)
1.34586035405594e+02	(1.26350218700633e-03dB,-4.33539260716087e-01°)
1.34896288259165e+02	(1.27009571729156e-03dB,-4.34539024564927e-01°)
1.35207256319427e+02	(1.27671968458216e-03dB,-4.35541095552077e-01°)
1.35518941235103e+02	(1.28337422936160e-03dB,-4.36545479012993e-01°)
1.35831344658715e+02	(1.29005949281258e-03dB,-4.37552180295542e-01°)
1.36144468246594e+02	(1.29677561673606e-03dB,-4.38561204760041e-01°)
1.36458313658892e+02	(1.30352274362644e-03dB,-4.39572557779276e-01°)
1.36772882559584e+02	(1.31030101659250e-03dB,-4.40586244738547e-01°)
1.37088176616484e+02	(1.31711057942102e-03dB,-4.41602271035686e-01°)
1.37404197501251e+02	(1.32395157657676e-03dB,-4.42620642081087e-01°)
1.37720946889394e+02	(1.33082415317935e-03dB,-4.43641363297742e-01°)
1.38038426460288e+02	(1.33772845501096e-03dB,-4.44664440121267e-01°)
1.38356637897177e+02	(1.34466462854137e-03dB,-4.45689877999933e-01°)
1.38675582887188e+02	(1.35163282090677e-03dB,-4.46717682394696e-01°)
1.38995263121334e+02	(1.35863317992899e-03dB,-4.47747858779222e-01°)
1.39315680294529e+02	(1.36566585411362e-03dB,-4.48780412639929e-01°)
1.39636836105593e+02	(1.37273099263646e-03dB,-4.49815349476007e-01°)
1.39958732257261e+02	(1.37982874538789e-03dB,-4.50852674799449e-01°)
