time	V(vout)	V(vout2)
1.040665352223350e-04	1.000000e+00	2.867939e-02
1.045548164723350e-04	1.000000e+00	3.575022e-02
1.050430977223350e-04	1.000000e+00	4.354693e-02
1.055313789723350e-04	1.000000e+00	5.205137e-02
1.060196602223350e-04	1.000000e+00	6.124478e-02
1.065079414723350e-04	1.000000e+00	7.110822e-02
1.069962227223350e-04	1.000000e+00	8.162247e-02
1.074845039723350e-04	1.000000e+00	9.276792e-02
1.079727852223350e-04	1.000000e+00	1.045249e-01
1.084610664723350e-04	1.000000e+00	1.168734e-01
1.089493477223350e-04	1.000000e+00	1.297932e-01
1.094376289723350e-04	1.000000e+00	1.432639e-01
1.099259102223350e-04	1.000000e+00	1.572651e-01
1.104141914723350e-04	1.000000e+00	1.717761e-01
1.109024727223350e-04	1.000000e+00	1.867761e-01
1.118790352223350e-04	1.000000e+00	2.181596e-01
1.128555977223350e-04	1.000000e+00	2.512479e-01
1.138321602223351e-04	1.000000e+00	2.858728e-01
1.152970039723351e-04	1.000000e+00	3.403233e-01
1.167618477223351e-04	1.000000e+00	3.972877e-01
1.177384102223351e-04	1.000000e+00	4.363849e-01
1.187149727223351e-04	1.000000e+00	4.761888e-01
1.192032539723351e-04	1.000000e+00	4.963058e-01
1.196915352223351e-04	1.000000e+00	5.165397e-01
1.201798164723351e-04	1.000000e+00	5.368711e-01
1.206680977223351e-04	1.000000e+00	5.572807e-01
1.211563789723351e-04	1.000000e+00	5.777496e-01
1.216446602223351e-04	1.000000e+00	5.982589e-01
1.221329414723350e-04	1.000000e+00	6.187901e-01
1.226212227223350e-04	1.000000e+00	6.393251e-01
1.231095039723350e-04	1.000000e+00	6.598458e-01
1.235977852223350e-04	1.000000e+00	6.803348e-01
1.240860664723350e-04	1.000000e+00	7.007746e-01
1.245743477223350e-04	1.000000e+00	7.211482e-01
1.250626289723350e-04	1.000000e+00	7.414389e-01
1.255509102223350e-04	1.000000e+00	7.616305e-01
1.260391914723350e-04	1.000000e+00	7.817069e-01
1.265274727223350e-04	1.000000e+00	8.016524e-01
